2013/0150191-000 ; 8661 ; 1981 ; 1113260130 ; 27/02/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0020205-000 ; 8661 ; 1981 ; 1113260635 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0001890-000 ; 8661 ; 1981 ; 1113260684 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2007/0201355-000 ; 8661 ; 1981 ; 1313259184 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2013/0242568-000 ; 8661 ; 1981 ; 1113261029 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0023400-000 ; 8661 ; 1981 ; 1113264736 ; 05/03/2014 ; Subsídio Processual ; Documento ; Analisado
2011/0025111-000 ; 8661 ; 1981 ; 2013263327 ; 28/02/2014 ; Subsídio Processual ; Documento ; Analisado
2013/0229338-000 ; 8661 ; 1981 ; 1113261327 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0020156-000 ; 8661 ; 1981 ; 1113261509 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2013/0229098-000 ; 8661 ; 1981 ; 1113261292 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2013/0240490-000 ; 8661 ; 1981 ; 1113263031 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2013/0231035-000 ; 8661 ; 1981 ; 1113263060 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2013/0234174-000 ; 8661 ; 1981 ; 1113260971 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0020174-000 ; 8661 ; 1981 ; 1113262943 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0019043-000 ; 8661 ; 1981 ; 1113261115 ; 27/02/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0011207-000 ; 8661 ; 1981 ; 1113260364 ; 27/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0024911-000 ; 8661 ; 1981 ; 1113263582 ; 05/03/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0020060-000 ; 8661 ; 1981 ; 1113262885 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0018575-000 ; 8661 ; 1981 ; 1113260861 ; 27/02/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0016784-000 ; 8661 ; 1981 ; 1113269160 ; 28/02/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0020167-000 ; 8661 ; 1981 ; 1113261059 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0024215-000 ; 8661 ; 1981 ; 1113263640 ; 07/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0020794-000 ; 8661 ; 1981 ; 1113264020 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0020143-000 ; 8661 ; 1981 ; 1113263993 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0020964-000 ; 8661 ; 1981 ; 1113264160 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0019128-000 ; 8661 ; 1981 ; 1113264129 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0019295-000 ; 8661 ; 1981 ; 1113263522 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0017569-000 ; 8661 ; 1981 ; 1113263718 ; 05/03/2014 ; Subsídio Processual ; Cálculo ; Analisado
2014/0003833-000 ; 8661 ; 1981 ; 1113264364 ; 27/02/2014 ; Subsídio Processual ; Documento ; Analisado
2014/0019626-000 ; 8661 ; 1981 ; 1113264468 ; 28/02/2014 ; Subsídio Processual ; Cálculo ; Analisado
